,INSTNM,CITY,STABBR,HIGHDEG,REGION,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL
998,Ball State University,Muncie,IN,4,3,510.0,610.0,500.0,600.0,1124.0
1000,Butler University,Indianapolis,IN,4,3,580.0,670.0,570.0,670.0,1278.0
1006,DePauw University,Greencastle,IN,3,3,580.0,680.0,580.0,740.0,1293.0
1008,Earlham College,Richmond,IN,4,3,560.0,670.0,540.0,670.0,1259.0
1009,University of Evansville,Evansville,IN,4,3,520.0,630.0,530.0,620.0,1179.0
1010,Franklin College,Franklin,IN,4,3,470.0,600.0,490.0,580.0,1092.0
1011,Goshen College,Goshen,IN,4,3,490.0,640.0,500.0,630.0,1163.0
1012,Grace College and Theological Seminary,Winona Lake,IN,4,3,500.0,620.0,490.0,600.0,1123.0
1013,Hanover College,Hanover,IN,3,3,570.0,660.0,540.0,650.0,1264.0
1015,Holy Cross College,Notre Dame,IN,3,3,560.0,670.0,550.0,650.0,1294.0
1017,Huntington University,Huntington,IN,4,3,510.0,618.0,500.0,590.0,1108.0
1019,Purdue University Fort Wayne,Fort Wayne,IN,4,3,500.0,610.0,500.0,600.0,1114.0
1020,Indiana University-Indianapolis,Indianapolis,IN,4,3,520.0,620.0,520.0,610.0,1152.0
1023,University of Southern Indiana,Evansville,IN,4,3,510.0,620.0,510.0,610.0,1139.0
1025,Indiana University-Kokomo,Kokomo,IN,4,3,500.0,600.0,500.0,580.0,1096.0
1026,Indiana University-South Bend,South Bend,IN,4,3,490.0,610.0,490.0,580.0,1085.0
1027,Indiana University-Bloomington,Bloomington,IN,4,3,580.0,680.0,580.0,700.0,1298.0
1028,Indiana University-Northwest,Gary,IN,4,3,480.0,590.0,460.0,550.0,1056.0
1029,Indiana University-Southeast,New Albany,IN,4,3,500.0,620.0,480.0,570.0,1115.0
1030,Indiana University-East,Richmond,IN,4,3,490.0,630.0,510.0,590.0,1106.0
1037,Indiana Wesleyan University-Marion,Marion,IN,4,3,500.0,610.0,490.0,590.0,1109.0
1042,University of Notre Dame,Notre Dame,IN,4,3,700.0,760.0,710.0,790.0,1490.0
1043,Oakland City University,Oakland City,IN,4,3,480.0,590.0,480.0,590.0,1061.0
1047,Rose-Hulman Institute of Technology,Terre Haute,IN,4,3,620.0,710.0,650.0,770.0,1385.0
1048,University of Saint Francis-Fort Wayne,Fort Wayne,IN,4,3,480.0,580.0,480.0,570.0,1066.0
1049,Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,4,3,490.0,580.0,485.0,540.0,1048.0
1050,Saint Mary's College,Notre Dame,IN,4,3,535.0,640.0,520.0,625.0,1195.0
1052,Saint Elizabeth School of Nursing,Lafayette,IN,1,3,450.0,530.0,410.0,520.0,955.0
1054,Trine University,Angola,IN,4,3,510.0,610.0,520.0,630.0,1159.0
1058,Wabash College,Crawfordsville,IN,3,3,570.0,670.0,570.0,670.0,1243.0
1061,Buena Vista University,Storm Lake,IA,4,4,480.0,583.0,483.0,557.0,1094.0
1064,Central College,Pella,IA,3,4,500.0,630.0,500.0,630.0,1121.0
1065,Clarke University,Dubuque,IA,4,4,460.0,550.0,440.0,570.0,1065.0
1067,Cornell College,Mount Vernon,IA,3,4,610.0,710.0,545.0,695.0,1283.0
1070,Dordt University,Sioux Center,IA,4,4,530.0,630.0,520.0,660.0,1199.0
1071,Drake University,Des Moines,IA,4,4,600.0,710.0,590.0,700.0,1311.0
1074,Emmaus Bible College,Dubuque,IA,3,4,570.0,660.0,530.0,580.0,1131.0
1076,Faith Baptist Bible College and Theological Seminary,Ankeny,IA,4,4,550.0,610.0,470.0,570.0,1162.0
1077,Graceland University-Lamoni,Lamoni,IA,4,4,440.0,550.0,440.0,570.0,1038.0
1078,Grand View University,Des Moines,IA,4,4,470.0,530.0,450.0,550.0,1032.0
1079,Grinnell College,Grinnell,IA,3,4,670.0,750.0,700.0,780.0,1450.0
1088,Iowa State University,Ames,IA,4,4,540.0,650.0,543.0,680.0,1205.0
1089,Iowa Wesleyan University,Mount Pleasant,IA,4,4,410.0,520.0,410.0,500.0,949.0
1091,University of Iowa,Iowa City,IA,4,4,570.0,680.0,560.0,670.0,1236.0
1098,Luther College,Decorah,IA,3,4,528.0,630.0,560.0,688.0,1229.0
1106,University of Northern Iowa,Cedar Falls,IA,4,4,490.0,580.0,490.0,610.0,1147.0
1107,Northwestern College,Orange City,IA,4,4,480.0,610.0,460.0,630.0,1163.0
1114,Saint Ambrose University,Davenport,IA,4,4,510.0,590.0,520.0,600.0,1147.0
1117,Simpson College,Indianola,IA,4,4,430.0,620.0,460.0,660.0,1166.0
1123,Upper Iowa University,Fayette,IA,4,4,425.0,555.0,430.0,510.0,1045.0
1125,Wartburg College,Waverly,IA,3,4,463.0,598.0,510.0,600.0,1141.0
1129,William Penn University,Oskaloosa,IA,4,4,430.0,520.0,400.0,510.0,978.0
1131,Baker University,Baldwin City,KS,4,4,460.0,560.0,510.0,570.0,1064.0
1133,Benedictine College,Atchison,KS,4,4,560.0,690.0,540.0,660.0,1243.0
1134,Bethany College,Lindsborg,KS,3,4,420.0,495.0,390.0,520.0,1017.0
1135,Bethel College-North Newton,North Newton,KS,3,4,490.0,590.0,500.0,570.0,1096.0
1161,University of Kansas,Lawrence,KS,4,4,550.0,660.0,540.0,670.0,1219.0
1171,MidAmerica Nazarene University,Olathe,KS,4,4,395.0,480.0,425.0,510.0,1035.0
1175,Ottawa University-Ottawa,Ottawa,KS,4,4,410.0,590.0,390.0,570.0,976.0
1182,Southwestern College,Winfield,KS,4,4,480.0,540.0,440.0,570.0,1015.0
1183,Sterling College,Sterling,KS,4,4,498.0,573.0,498.0,593.0,1095.0
1187,Wichita State University,Wichita,KS,4,4,483.0,620.0,500.0,600.0,1132.0
1189,Alice Lloyd College,Pippa Passes,KY,3,5,400.0,610.0,360.0,530.0,1029.0
1194,Bellarmine University,Louisville,KY,4,5,550.0,640.0,560.0,640.0,1191.0
1195,Berea College,Berea,KY,3,5,555.0,640.0,563.0,628.0,1229.0
1198,Brescia University,Owensboro,KY,4,5,460.0,590.0,460.0,600.0,1094.0
1201,Centre College,Danville,KY,3,5,605.0,695.0,630.0,770.0,1381.0
1205,University of the Cumberlands,Williamsburg,KY,4,5,450.0,600.0,490.0,600.0,1070.0
1206,Eastern Kentucky University,Richmond,KY,4,5,480.0,590.0,470.0,590.0,1084.0
1220,Kentucky Wesleyan College,Owensboro,KY,3,5,455.0,560.0,465.0,580.0,1095.0
1221,University of Kentucky,Lexington,KY,4,5,543.0,660.0,540.0,670.0,1232.0
1222,Kentucky Christian University,Grayson,KY,4,5,400.0,530.0,400.0,500.0,984.0
1225,University of Louisville,Louisville,KY,4,5,530.0,630.0,520.0,640.0,1182.0
1229,Midway University,Midway,KY,4,5,500.0,570.0,440.0,550.0,1098.0
1231,Murray State University,Murray,KY,4,5,490.0,610.0,470.0,590.0,1156.0
1233,Northern Kentucky University,Highland Heights,KY,4,5,480.0,590.0,503.0,620.0,1146.0
1243,The Southern Baptist Theological Seminary,Louisville,KY,4,5,530.0,650.0,510.0,600.0,1151.0
1244,Spalding University,Louisville,KY,4,5,470.0,560.0,460.0,540.0,1045.0
1247,Transylvania University,Lexington,KY,3,5,530.0,670.0,520.0,660.0,1250.0
1248,Union College,Barbourville,KY,4,5,475.0,558.0,480.0,590.0,1017.0
1255,Centenary College of Louisiana,Shreveport,LA,4,5,510.0,640.0,510.0,610.0,1197.0
1261,Dillard University,New Orleans,LA,3,5,490.0,555.0,470.0,565.0,1060.0
1263,Grambling State University,Grambling,LA,4,5,422.0,520.0,400.0,520.0,942.0
1268,Louisiana State University-Alexandria,Alexandria,LA,3,5,490.0,640.0,480.0,570.0,1054.0
1269,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,4,5,580.0,660.0,550.0,660.0,1247.0
1271,Louisiana State University-Shreveport,Shreveport,LA,4,5,370.0,510.0,500.0,560.0,1134.0
1275,Louisiana Christian University,Pineville,LA,4,5,460.0,520.0,480.0,560.0,1065.0
1277,Louisiana Tech University,Ruston,LA,4,5,530.0,630.0,540.0,650.0,1203.0
1279,McNeese State University,Lake Charles,LA,4,5,490.0,560.0,500.0,610.0,1116.0
1280,University of New Orleans,New Orleans,LA,4,5,520.0,640.0,490.0,640.0,1089.0
1282,Nicholls State University,Thibodaux,LA,4,5,520.0,605.0,518.0,623.0,1135.0
1283,University of Louisiana at Monroe,Monroe,LA,4,5,490.0,580.0,570.0,690.0,1108.0
1285,Northwestern State University of Louisiana,Natchitoches,LA,4,5,480.0,580.0,440.0,540.0,1015.0
1299,Southern University and A & M College,Baton Rouge,LA,4,5,430.0,515.0,410.0,500.0,943.0
1302,University of Louisiana at Lafayette,Lafayette,LA,4,5,510.0,610.0,513.0,588.0,1105.0
1304,Tulane University of Louisiana,New Orleans,LA,4,5,680.0,740.0,680.0,770.0,1431.0
1305,Xavier University of Louisiana,New Orleans,LA,4,5,510.0,570.0,480.0,580.0,1119.0
1312,Colby College,Waterville,ME,3,1,690.0,750.0,710.0,780.0,1471.0
1319,University of Maine,Orono,ME,4,1,540.0,650.0,520.0,630.0,1180.0
1326,Saint Joseph's College of Maine,Standish,ME,4,1,500.0,620.0,520.0,610.0,1125.0
1329,University of Southern Maine,Portland,ME,4,1,510.0,630.0,485.0,600.0,1112.0
1338,University of Baltimore,Baltimore,MD,4,2,490.0,590.0,465.0,545.0,1040.0
1339,Bowie State University,Bowie,MD,4,2,430.0,520.0,410.0,500.0,932.0
1345,Coppin State University,Baltimore,MD,4,2,410.0,530.0,370.0,530.0,920.0
1349,Frostburg State University,Frostburg,MD,4,2,500.0,610.0,480.0,590.0,1089.0
1351,Goucher College,Baltimore,MD,4,2,548.0,700.0,538.0,660.0,1251.0
1362,University of Maryland-Baltimore County,Baltimore,MD,4,2,610.0,700.0,610.0,710.0,1312.0
1363,University of Maryland-College Park,College Park,MD,4,2,650.0,730.0,680.0,780.0,1426.0
1369,Morgan State University,Baltimore,MD,4,2,410.0,530.0,440.0,560.0,971.0
1377,St. Mary's College of Maryland,St. Mary's City,MD,4,2,585.0,690.0,550.0,650.0,1256.0
1378,St. John's College,Annapolis,MD,4,2,660.0,750.0,630.0,730.0,1376.0
1379,Towson University,Towson,MD,4,2,520.0,620.0,520.0,600.0,1134.0
1381,United States Naval Academy,Annapolis,MD,3,0,600.0,700.0,600.0,720.0,1324.0
1387,American International College,Springfield,MA,4,1,470.0,555.0,470.0,555.0,1025.0
1388,Amherst College,Amherst,MA,3,1,680.0,760.0,690.0,790.0,1469.0
1392,Babson College,Wellesley,MA,4,1,640.0,710.0,690.0,770.0,1412.0
1395,Bay Path University,Longmeadow,MA,4,1,533.0,645.0,485.0,560.0,1112.0
1397,Bentley University,Waltham,MA,4,1,610.0,690.0,630.0,723.0,1335.0
1403,Boston College,Chestnut Hill,MA,4,1,700.0,750.0,720.0,780.0,1485.0
1404,Boston University,Boston,MA,4,1,660.0,740.0,700.0,780.0,1447.0
1405,Brandeis University,Waltham,MA,4,1,670.0,750.0,700.0,780.0,1455.0
1406,Bridgewater State University,Bridgewater,MA,4,1,510.0,610.0,500.0,590.0,1108.0
1414,Clark University,Worcester,MA,4,1,628.0,703.0,590.0,700.0,1316.0
1416,Curry College,Milton,MA,4,1,563.0,586.0,520.0,579.0,1124.0
1421,Eastern Nazarene College,Quincy,MA,4,1,485.0,665.0,475.0,650.0,1135.0
1422,Emerson College,Boston,MA,4,1,620.0,710.0,580.0,690.0,1325.0
1423,Emmanuel College,Boston,MA,4,1,600.0,660.0,550.0,620.0,1227.0
